Query,CFPQ_size,Time(s)
0,NaN,0.006016254425048828
1,NaN,0.013462066650390625
2,NaN,0.007030010223388672
3,291,0.006178855895996094
4,NaN,0.006356954574584961
5,NaN,0.004037141799926758
6,NaN,0.0036630630493164062
0,NaN,0.005828380584716797
1,NaN,0.021618127822875977
2,NaN,0.0069429874420166016
3,291,0.006107330322265625
4,NaN,0.006491661071777344
5,NaN,0.003821849822998047
6,NaN,0.003450632095336914
0,NaN,0.005610942840576172
1,NaN,0.012984752655029297
2,NaN,0.006823301315307617
3,291,0.006488323211669922
4,NaN,0.005925893783569336
5,NaN,0.003942966461181641
6,NaN,0.0038764476776123047
0,NaN,0.00567317008972168
1,NaN,0.013295412063598633
2,NaN,0.006870746612548828
3,291,0.006264925003051758
4,NaN,0.006670236587524414
5,NaN,0.004006862640380859
6,NaN,0.0036339759826660156
0,NaN,0.005707502365112305
1,NaN,0.015938997268676758
2,NaN,0.0077021121978759766
3,291,0.006100893020629883
4,NaN,0.006033658981323242
5,NaN,0.003564596176147461
6,NaN,0.003541231155395508
0,NaN,0.00605320930480957
1,NaN,0.012750625610351562
2,NaN,0.006598472595214844
3,291,0.006235599517822266
4,NaN,0.006407260894775391
5,NaN,0.003791332244873047
6,NaN,0.0034246444702148438
0,NaN,0.005751848220825195
1,NaN,0.013284921646118164
2,NaN,0.007238149642944336
3,291,0.006278276443481445
4,NaN,0.008965015411376953
5,NaN,0.007405519485473633
6,NaN,0.006469011306762695
0,NaN,0.006104946136474609
1,NaN,0.013336420059204102
2,NaN,0.006996631622314453
3,291,0.006524085998535156
4,NaN,0.006478309631347656
5,NaN,0.0040204524993896484
6,NaN,0.0038270950317382812
0,NaN,0.006038665771484375
1,NaN,0.014523506164550781
2,NaN,0.007228851318359375
3,291,0.006536722183227539
4,NaN,0.006573200225830078
5,NaN,0.006674766540527344
6,NaN,0.0038924217224121094
0,NaN,0.006335020065307617
1,NaN,0.01408076286315918
2,NaN,0.007056713104248047
3,291,0.00659489631652832
4,NaN,0.009661436080932617
5,NaN,0.004118442535400391
6,NaN,0.0039043426513671875
