Query,CFPQ_size,Time(s)
0,NaN,0.0067365169525146484
1,NaN,0.015070438385009766
2,NaN,0.007991313934326172
3,341,0.007208585739135742
4,NaN,0.006631612777709961
5,NaN,0.004507541656494141
6,NaN,0.003995418548583984
0,NaN,0.006386756896972656
1,NaN,0.015027046203613281
2,NaN,0.007922649383544922
3,341,0.007071256637573242
4,NaN,0.006514787673950195
5,NaN,0.0043408870697021484
6,NaN,0.004076957702636719
0,NaN,0.0067081451416015625
1,NaN,0.015200138092041016
2,NaN,0.007825136184692383
3,341,0.00709223747253418
4,NaN,0.006543874740600586
5,NaN,0.0038161277770996094
6,NaN,0.004039287567138672
0,NaN,0.006681680679321289
1,NaN,0.018012046813964844
2,NaN,0.00805211067199707
3,341,0.0067365169525146484
4,NaN,0.006852388381958008
5,NaN,0.0047454833984375
6,NaN,0.004318952560424805
0,NaN,0.00687098503112793
1,NaN,0.015519142150878906
2,NaN,0.007616519927978516
3,341,0.007002115249633789
4,NaN,0.00672602653503418
5,NaN,0.004687309265136719
6,NaN,0.004044294357299805
0,NaN,0.007176637649536133
1,NaN,0.015858173370361328
2,NaN,0.008038043975830078
3,341,0.010029077529907227
4,NaN,0.007027626037597656
5,NaN,0.0041522979736328125
6,NaN,0.003788471221923828
0,NaN,0.006041765213012695
1,NaN,0.01470327377319336
2,NaN,0.007517337799072266
3,341,0.007131099700927734
4,NaN,0.0068662166595458984
5,NaN,0.003850698471069336
6,NaN,0.003523588180541992
0,NaN,0.006084918975830078
1,NaN,0.014076471328735352
2,NaN,0.007218122482299805
3,341,0.006488800048828125
4,NaN,0.006013154983520508
5,NaN,0.0039014816284179688
6,NaN,0.0034589767456054688
0,NaN,0.005841493606567383
1,NaN,0.01447153091430664
2,NaN,0.007245302200317383
3,341,0.0069315433502197266
4,NaN,0.006665945053100586
5,NaN,0.003998756408691406
6,NaN,0.0036401748657226562
0,NaN,0.008471965789794922
1,NaN,0.015745878219604492
2,NaN,0.007512331008911133
3,341,0.007185220718383789
4,NaN,0.0061991214752197266
5,NaN,0.003583192825317383
6,NaN,0.0035881996154785156
