Query,CFPQ_size,Time(s)
0,NaN,5.023221731185913
1,NaN,10.636332750320435
2,NaN,5.538129568099976
3,239111,5.718945741653442
4,NaN,3.128833770751953
5,NaN,2.687832832336426
6,NaN,2.2180063724517822
0,NaN,5.03629207611084
1,NaN,10.61102294921875
2,NaN,5.429846286773682
3,239111,5.7887513637542725
4,NaN,3.2847707271575928
5,NaN,2.628129482269287
6,NaN,2.1712605953216553
0,NaN,5.176415681838989
1,NaN,10.792609930038452
2,NaN,5.663420677185059
3,239111,6.082026243209839
4,NaN,3.2691707611083984
5,NaN,2.766115188598633
6,NaN,2.3457140922546387
