Query,CFPQ_size,Time(s)
0,NaN,0.005912303924560547
1,NaN,0.013206958770751953
2,NaN,0.006668567657470703
3,256,0.0063190460205078125
4,NaN,0.006325244903564453
5,NaN,0.00395655632019043
6,NaN,0.0036687850952148438
0,NaN,0.005814552307128906
1,NaN,0.014029264450073242
2,NaN,0.006282329559326172
3,256,0.00583338737487793
4,NaN,0.006051540374755859
5,NaN,0.003705739974975586
6,NaN,0.0035500526428222656
0,NaN,0.005509138107299805
1,NaN,0.01257467269897461
2,NaN,0.006434440612792969
3,256,0.006010770797729492
4,NaN,0.006093263626098633
5,NaN,0.003967761993408203
6,NaN,0.0035877227783203125
0,NaN,0.005469083786010742
1,NaN,0.012583494186401367
2,NaN,0.006456136703491211
3,256,0.00612187385559082
4,NaN,0.006569385528564453
5,NaN,0.004147768020629883
6,NaN,0.0036954879760742188
0,NaN,0.005829572677612305
1,NaN,0.0136260986328125
2,NaN,0.00662994384765625
3,256,0.006058931350708008
4,NaN,0.0062978267669677734
5,NaN,0.0038661956787109375
6,NaN,0.003673076629638672
0,NaN,0.00623011589050293
1,NaN,0.014531373977661133
2,NaN,0.009565591812133789
3,256,0.006121397018432617
4,NaN,0.006267070770263672
5,NaN,0.003771066665649414
6,NaN,0.003784656524658203
0,NaN,0.005713462829589844
1,NaN,0.013057470321655273
2,NaN,0.006815195083618164
3,256,0.006335020065307617
4,NaN,0.00887918472290039
5,NaN,0.004041433334350586
6,NaN,0.003770112991333008
0,NaN,0.0055713653564453125
1,NaN,0.013338804244995117
2,NaN,0.006845712661743164
3,256,0.006188154220581055
4,NaN,0.006311893463134766
5,NaN,0.0036857128143310547
6,NaN,0.003682851791381836
0,NaN,0.005768537521362305
1,NaN,0.012822151184082031
2,NaN,0.0066852569580078125
3,256,0.006026029586791992
4,NaN,0.00604248046875
5,NaN,0.003796100616455078
6,NaN,0.0038590431213378906
0,NaN,0.005540609359741211
1,NaN,0.012941122055053711
2,NaN,0.006659746170043945
3,256,0.0059392452239990234
4,NaN,0.006136417388916016
5,NaN,0.0037691593170166016
6,NaN,0.003496885299682617
