Query,CFPQ_size,Time(s)
0,NaN,13.886518478393555
1,NaN,28.41723942756653
2,NaN,14.797673225402832
3,582929,15.433236360549927
4,NaN,9.237319946289062
5,NaN,7.47729229927063
6,NaN,6.190884351730347
0,NaN,13.487277507781982
1,NaN,28.178035497665405
2,NaN,15.60944128036499
3,582929,15.814064502716064
4,NaN,9.065096378326416
5,NaN,7.2822277545928955
6,NaN,6.008081912994385
0,NaN,13.311476230621338
1,NaN,28.359215259552002
2,NaN,14.439595460891724
3,582929,15.515757322311401
4,NaN,9.131688356399536
5,NaN,7.470647096633911
6,NaN,6.060779333114624
