Query,CFPQ_size,Time(s)
0,NaN,0.006646394729614258
1,NaN,0.01494288444519043
2,NaN,0.007245302200317383
3,337,0.006757974624633789
4,NaN,0.006287813186645508
5,NaN,0.003641843795776367
6,NaN,0.0035359859466552734
0,NaN,0.005942344665527344
1,NaN,0.014041900634765625
2,NaN,0.00792241096496582
3,337,0.00825643539428711
4,NaN,0.008974075317382812
5,NaN,0.004107952117919922
6,NaN,0.003877401351928711
0,NaN,0.006438255310058594
1,NaN,0.015388011932373047
2,NaN,0.00765228271484375
3,337,0.006782054901123047
4,NaN,0.006446123123168945
5,NaN,0.004060506820678711
6,NaN,0.003774881362915039
0,NaN,0.006471395492553711
1,NaN,0.014297008514404297
2,NaN,0.0073544979095458984
3,337,0.0066602230072021484
4,NaN,0.006512641906738281
5,NaN,0.004130840301513672
6,NaN,0.003724336624145508
0,NaN,0.006110429763793945
1,NaN,0.014767169952392578
2,NaN,0.0074541568756103516
3,337,0.006537199020385742
4,NaN,0.006173610687255859
5,NaN,0.003887176513671875
6,NaN,0.003631591796875
0,NaN,0.006094455718994141
1,NaN,0.014371156692504883
2,NaN,0.007570743560791016
3,337,0.00658869743347168
4,NaN,0.00649714469909668
5,NaN,0.0039594173431396484
6,NaN,0.003918886184692383
0,NaN,0.006117343902587891
1,NaN,0.013689994812011719
2,NaN,0.0071773529052734375
3,337,0.006738901138305664
4,NaN,0.006488800048828125
5,NaN,0.003980159759521484
6,NaN,0.0035614967346191406
0,NaN,0.005908012390136719
1,NaN,0.02717757225036621
2,NaN,0.014800548553466797
3,337,0.007250785827636719
4,NaN,0.0065419673919677734
5,NaN,0.004090309143066406
6,NaN,0.004142045974731445
0,NaN,0.006385326385498047
1,NaN,0.015288829803466797
2,NaN,0.008016586303710938
3,337,0.007356882095336914
4,NaN,0.006448984146118164
5,NaN,0.004185199737548828
6,NaN,0.00410771369934082
0,NaN,0.00657200813293457
1,NaN,0.01544642448425293
2,NaN,0.008004188537597656
3,337,0.006861686706542969
4,NaN,0.006552457809448242
5,NaN,0.004068613052368164
6,NaN,0.0038003921508789062
