Query,CFPQ_size,Time(s)
0,NaN,0.003911733627319336
1,NaN,0.009543418884277344
2,NaN,0.004785299301147461
3,179,0.004100322723388672
4,NaN,0.0048007965087890625
5,NaN,0.002592802047729492
6,NaN,0.002541065216064453
0,NaN,0.0037834644317626953
1,NaN,0.014685392379760742
2,NaN,0.004330873489379883
3,179,0.0038268566131591797
4,NaN,0.00426483154296875
5,NaN,0.002512693405151367
6,NaN,0.0026471614837646484
0,NaN,0.0035228729248046875
1,NaN,0.010015249252319336
2,NaN,0.004297494888305664
3,179,0.003864765167236328
4,NaN,0.004665851593017578
5,NaN,0.002347230911254883
6,NaN,0.0026924610137939453
0,NaN,0.003795623779296875
1,NaN,0.009478330612182617
2,NaN,0.0043790340423583984
3,179,0.004104137420654297
4,NaN,0.004589080810546875
5,NaN,0.0023713111877441406
6,NaN,0.0026738643646240234
0,NaN,0.003905057907104492
1,NaN,0.009684085845947266
2,NaN,0.004633426666259766
3,179,0.004183530807495117
4,NaN,0.004626035690307617
5,NaN,0.0025315284729003906
6,NaN,0.0025482177734375
0,NaN,0.0039556026458740234
1,NaN,0.009847640991210938
2,NaN,0.004370450973510742
3,179,0.004378557205200195
4,NaN,0.004608869552612305
5,NaN,0.002998828887939453
6,NaN,0.003016233444213867
0,NaN,0.00402379035949707
1,NaN,0.01043081283569336
2,NaN,0.00484156608581543
3,179,0.004369020462036133
4,NaN,0.004812955856323242
5,NaN,0.002583742141723633
6,NaN,0.002763986587524414
0,NaN,0.00406956672668457
1,NaN,0.010309457778930664
2,NaN,0.0048525333404541016
3,179,0.00448918342590332
4,NaN,0.0047762393951416016
5,NaN,0.0027132034301757812
6,NaN,0.002864360809326172
0,NaN,0.004014253616333008
1,NaN,0.01013946533203125
2,NaN,0.004766702651977539
3,179,0.004364013671875
4,NaN,0.0049283504486083984
5,NaN,0.0026836395263671875
6,NaN,0.0029544830322265625
0,NaN,0.004419088363647461
1,NaN,0.010453939437866211
2,NaN,0.004986763000488281
3,179,0.004387617111206055
4,NaN,0.0049021244049072266
5,NaN,0.002776622772216797
6,NaN,0.002805471420288086
