Query,CFPQ_size,Time(s)
0,NaN,0.014983415603637695
1,NaN,0.031069040298461914
2,NaN,0.0172576904296875
3,733,0.023329973220825195
4,NaN,0.014428853988647461
5,NaN,0.00937199592590332
6,NaN,0.007638454437255859
0,NaN,0.013455390930175781
1,NaN,0.029958009719848633
2,NaN,0.017322540283203125
3,733,0.014160394668579102
4,NaN,0.01258707046508789
5,NaN,0.010105609893798828
6,NaN,0.009021759033203125
0,NaN,0.014092445373535156
1,NaN,0.026828765869140625
2,NaN,0.015107154846191406
3,733,0.013386964797973633
4,NaN,0.011979818344116211
5,NaN,0.008392572402954102
6,NaN,0.007790327072143555
0,NaN,0.022432327270507812
1,NaN,0.028016090393066406
2,NaN,0.022283315658569336
3,733,0.01484823226928711
4,NaN,0.012012481689453125
5,NaN,0.00938105583190918
6,NaN,0.008052349090576172
0,NaN,0.01457977294921875
1,NaN,0.027846336364746094
2,NaN,0.016146421432495117
3,733,0.014643430709838867
4,NaN,0.01802659034729004
5,NaN,0.009020566940307617
6,NaN,0.008265495300292969
0,NaN,0.01456761360168457
1,NaN,0.028273582458496094
2,NaN,0.01871967315673828
3,733,0.016086101531982422
4,NaN,0.014153242111206055
5,NaN,0.01021718978881836
6,NaN,0.008230209350585938
0,NaN,0.014763593673706055
1,NaN,0.04134559631347656
2,NaN,0.018364429473876953
3,733,0.016444921493530273
4,NaN,0.014485836029052734
5,NaN,0.00997471809387207
6,NaN,0.008780479431152344
0,NaN,0.015542268753051758
1,NaN,0.034628868103027344
2,NaN,0.018466711044311523
3,733,0.015353918075561523
4,NaN,0.013897180557250977
5,NaN,0.009959220886230469
6,NaN,0.008342981338500977
0,NaN,0.014755725860595703
1,NaN,0.03071117401123047
2,NaN,0.01723647117614746
3,733,0.01610279083251953
4,NaN,0.02123856544494629
5,NaN,0.010028362274169922
6,NaN,0.008321523666381836
0,NaN,0.014572858810424805
1,NaN,0.027222633361816406
2,NaN,0.01581859588623047
3,733,0.020136594772338867
4,NaN,0.02782917022705078
5,NaN,0.00942373275756836
6,NaN,0.007344961166381836
