Query,CFPQ_size,Time(s)
0,NaN,0.104156494140625
1,NaN,0.12994718551635742
2,NaN,0.09681153297424316
3,291,0.10312724113464355
4,NaN,0.09460210800170898
5,NaN,0.08636331558227539
6,NaN,0.09484624862670898
0,NaN,0.09659004211425781
1,NaN,0.13718962669372559
2,NaN,0.10526299476623535
3,291,0.10448312759399414
4,NaN,0.09081459045410156
5,NaN,0.09320425987243652
6,NaN,0.09562540054321289
0,NaN,0.09373068809509277
1,NaN,0.13081049919128418
2,NaN,0.09489130973815918
3,291,0.09691071510314941
4,NaN,0.09822392463684082
5,NaN,0.09912467002868652
6,NaN,0.09601640701293945
0,NaN,0.10044074058532715
1,NaN,0.13072514533996582
2,NaN,0.101104736328125
3,291,0.10722637176513672
4,NaN,0.09387421607971191
5,NaN,0.08445072174072266
6,NaN,0.09134984016418457
0,NaN,0.10959911346435547
1,NaN,0.13163304328918457
2,NaN,0.10620784759521484
3,291,0.10068392753601074
4,NaN,0.09615278244018555
5,NaN,0.10002970695495605
6,NaN,0.08947587013244629
0,NaN,0.09303045272827148
1,NaN,0.11945915222167969
2,NaN,0.10106205940246582
3,291,0.11135149002075195
4,NaN,0.09408116340637207
5,NaN,0.09166121482849121
6,NaN,0.09242725372314453
0,NaN,0.10350275039672852
1,NaN,0.13283157348632812
2,NaN,0.09190082550048828
3,291,0.10109305381774902
4,NaN,0.08661007881164551
5,NaN,0.08703064918518066
6,NaN,0.10262823104858398
0,NaN,0.09970331192016602
1,NaN,0.1264326572418213
2,NaN,0.09970498085021973
3,291,0.11101245880126953
4,NaN,0.08912420272827148
5,NaN,0.08793926239013672
6,NaN,0.08115267753601074
0,NaN,0.0899362564086914
1,NaN,0.12984800338745117
2,NaN,0.11305665969848633
3,291,0.10068154335021973
4,NaN,0.09214043617248535
5,NaN,0.09140610694885254
6,NaN,0.09169864654541016
0,NaN,0.09169459342956543
1,NaN,0.11891436576843262
2,NaN,0.10242438316345215
3,291,0.0913076400756836
4,NaN,0.08605456352233887
5,NaN,8.245570659637451
6,NaN,0.09653115272521973
