Query,CFPQ_size,Time(s)
0,NaN,0.11038398742675781
1,NaN,0.15081000328063965
2,NaN,0.10467386245727539
3,341,0.10015630722045898
4,NaN,0.09300994873046875
5,NaN,0.08490490913391113
6,NaN,0.10235333442687988
0,NaN,0.12074851989746094
1,NaN,0.14311623573303223
2,NaN,0.1055917739868164
3,341,0.1086728572845459
4,NaN,0.09333515167236328
5,NaN,0.091766357421875
6,NaN,0.10104513168334961
0,NaN,0.09414815902709961
1,NaN,0.12685537338256836
2,NaN,0.12109375
3,341,0.11412453651428223
4,NaN,0.10140252113342285
5,NaN,0.1004180908203125
6,NaN,0.10106253623962402
0,NaN,0.09946799278259277
1,NaN,0.12801671028137207
2,NaN,0.10075521469116211
3,341,0.09544730186462402
4,NaN,0.0918436050415039
5,NaN,0.11787152290344238
6,NaN,0.10293221473693848
0,NaN,0.10839247703552246
1,NaN,0.14087319374084473
2,NaN,0.12068295478820801
3,341,0.09508800506591797
4,NaN,0.08887624740600586
5,NaN,0.0846560001373291
6,NaN,0.0893406867980957
0,NaN,0.13519740104675293
1,NaN,0.1410055160522461
2,NaN,0.10881638526916504
3,341,0.10520577430725098
4,NaN,0.0884103775024414
5,NaN,0.09214234352111816
6,NaN,0.08616971969604492
0,NaN,0.09489059448242188
1,NaN,0.1222829818725586
2,NaN,0.1199650764465332
3,341,0.11732220649719238
4,NaN,0.09985184669494629
5,NaN,0.10140132904052734
6,NaN,0.09581565856933594
0,NaN,0.09613204002380371
1,NaN,0.12309694290161133
2,NaN,0.09809350967407227
3,341,0.09274935722351074
4,NaN,0.1108713150024414
5,NaN,0.10514640808105469
6,NaN,0.10691285133361816
0,NaN,0.11604642868041992
1,NaN,0.142561674118042
2,NaN,0.10077524185180664
3,341,0.09759521484375
4,NaN,0.09092879295349121
5,NaN,0.08916091918945312
6,NaN,0.0926203727722168
0,NaN,0.10934019088745117
1,NaN,0.1502523422241211
2,NaN,0.11780166625976562
3,341,0.10766911506652832
4,NaN,0.09739303588867188
5,NaN,0.0968785285949707
6,NaN,0.09258913993835449
