Query,CFPQ_size,Time(s)
0,NaN,0.42842698097229004
1,NaN,0.5378625392913818
2,NaN,0.41983914375305176
3,1323,0.4337635040283203
4,NaN,0.40756940841674805
5,NaN,0.427600622177124
6,NaN,0.3986330032348633
0,NaN,0.4234459400177002
1,NaN,0.5519490242004395
2,NaN,0.4356253147125244
3,1323,0.45453786849975586
4,NaN,0.3983583450317383
5,NaN,0.4199979305267334
6,NaN,0.4097003936767578
0,NaN,0.4436812400817871
1,NaN,0.5071966648101807
2,NaN,0.45357489585876465
3,1323,0.43532896041870117
4,NaN,0.41260695457458496
5,NaN,0.43601417541503906
6,NaN,0.42551422119140625
0,NaN,0.4267144203186035
1,NaN,0.5152792930603027
2,NaN,0.40211009979248047
3,1323,0.4422187805175781
4,NaN,0.3958902359008789
5,NaN,0.3939216136932373
6,NaN,0.4332873821258545
0,NaN,0.41724514961242676
1,NaN,0.5351059436798096
2,NaN,9.012023687362671
3,1323,0.4459500312805176
4,NaN,0.4316675662994385
5,NaN,0.42497754096984863
6,NaN,0.4315071105957031
0,NaN,0.44432735443115234
1,NaN,0.5476493835449219
2,NaN,0.4433248043060303
3,1323,0.44434022903442383
4,NaN,0.41958165168762207
5,NaN,0.43540048599243164
6,NaN,0.4298732280731201
0,NaN,0.451338529586792
1,NaN,0.5351746082305908
2,NaN,0.4567992687225342
3,1323,0.4360837936401367
4,NaN,0.44145631790161133
5,NaN,0.41949892044067383
6,NaN,0.4143483638763428
0,NaN,0.46181297302246094
1,NaN,0.5472080707550049
2,NaN,0.4697718620300293
3,1323,0.4351987838745117
4,NaN,0.45041990280151367
5,NaN,0.4213259220123291
6,NaN,0.4118218421936035
0,NaN,0.4741663932800293
1,NaN,0.515265941619873
2,NaN,0.45215487480163574
3,1323,0.42317867279052734
4,NaN,0.4134056568145752
5,NaN,0.41213130950927734
6,NaN,0.42158007621765137
0,NaN,0.42671704292297363
1,NaN,0.518500566482544
2,NaN,0.45162129402160645
3,1323,0.43625664710998535
4,NaN,0.4371964931488037
5,NaN,0.41609644889831543
6,NaN,0.4380052089691162
