Query,CFPQ_size,Time(s)
0,NaN,15.669837951660156
1,NaN,18.19629168510437
2,NaN,13.600346088409424
3,48815,15.193321466445923
4,NaN,14.763175964355469
5,NaN,13.113627433776855
6,NaN,14.801215171813965
0,NaN,13.76474642753601
1,NaN,17.840156316757202
2,NaN,15.19453740119934
3,48815,15.616379976272583
4,NaN,13.216009855270386
5,NaN,14.502777814865112
6,NaN,15.02190613746643
0,NaN,13.650713443756104
1,NaN,17.880558013916016
2,NaN,15.094027280807495
3,48815,15.432906150817871
4,NaN,13.04795527458191
5,NaN,14.88028883934021
6,NaN,13.157182455062866
