Query,CFPQ_size,Time(s)
0,NaN,209.87608861923218
1,NaN,233.84426259994507
2,NaN,209.93657112121582
3,450609,211.6065866947174
4,NaN,202.75838899612427
5,NaN,211.84240126609802
6,NaN,208.71342062950134
0,NaN,204.03771901130676
1,NaN,244.13608694076538
2,NaN,218.3237862586975
3,450609,200.76657366752625
4,NaN,206.45353507995605
5,NaN,196.7225377559662
6,NaN,202.1788432598114
0,NaN,207.9405379295349
1,NaN,226.7271363735199
2,NaN,200.16477513313293
3,450609,203.40133452415466
4,NaN,189.40771198272705
5,NaN,187.32328939437866
6,NaN,189.6909818649292
