Query,CFPQ_size,Time(s)
0,NaN,242.41501641273499
1,NaN,274.4051282405853
2,NaN,240.28202152252197
3,582929,244.15745449066162
4,NaN,233.6000349521637
5,NaN,236.788649559021
6,NaN,232.68413758277893
0,NaN,236.9668254852295
1,NaN,277.34070587158203
2,NaN,243.425466299057
3,582929,243.782395362854
4,NaN,235.23304390907288
5,NaN,230.85574388504028
6,NaN,242.1399998664856
0,NaN,240.59198570251465
1,NaN,273.41130018234253
2,NaN,241.83817553520203
3,582929,240.59880781173706
4,NaN,236.04866003990173
5,NaN,240.67390871047974
6,NaN,237.78146648406982
