Query,CFPQ_size,Time(s)
0,NaN,4.070616006851196
1,NaN,4.411486864089966
2,NaN,4.065434455871582
3,6238,4.067837953567505
4,NaN,3.99238920211792
5,NaN,3.968204975128174
6,NaN,3.9307782649993896
0,NaN,4.076128244400024
1,NaN,4.513296127319336
2,NaN,12.392677068710327
3,6238,4.114193916320801
4,NaN,3.9938576221466064
5,NaN,3.8915839195251465
6,NaN,3.9792909622192383
0,NaN,3.9838550090789795
1,NaN,4.414139986038208
2,NaN,3.9905309677124023
3,6238,4.063658237457275
4,NaN,3.9501140117645264
5,NaN,3.970211982727051
6,NaN,3.9477975368499756
0,NaN,4.00681471824646
1,NaN,4.389084815979004
2,NaN,6.782489776611328
3,6238,16.084913969039917
4,NaN,4.03172755241394
5,NaN,3.9619874954223633
6,NaN,4.000749111175537
0,NaN,4.085256576538086
1,NaN,4.348217248916626
2,NaN,4.022073268890381
3,6238,3.946633815765381
4,NaN,3.909532070159912
5,NaN,3.856571912765503
6,NaN,3.912381172180176
0,NaN,3.943946599960327
1,NaN,4.366300106048584
2,NaN,4.039348125457764
3,6238,5.663859128952026
4,NaN,3.8779284954071045
5,NaN,13.126547574996948
6,NaN,5.978956937789917
0,NaN,5.110144376754761
1,NaN,4.5937254428863525
2,NaN,5.474041938781738
3,6238,4.616331577301025
4,NaN,3.9467482566833496
5,NaN,3.942790985107422
6,NaN,3.903120756149292
0,NaN,4.093163013458252
1,NaN,4.634338617324829
2,NaN,4.119438409805298
3,6238,7.007753849029541
4,NaN,7.323076486587524
5,NaN,3.972984790802002
6,NaN,4.20136833190918
0,NaN,13.061535120010376
1,NaN,4.3978822231292725
2,NaN,3.9905645847320557
3,6238,5.231597900390625
4,NaN,6.4858174324035645
5,NaN,4.084741592407227
6,NaN,4.095032215118408
0,NaN,4.068058013916016
1,NaN,4.4581708908081055
2,NaN,4.033215045928955
3,6238,4.15732216835022
4,NaN,4.005072593688965
5,NaN,4.048102140426636
6,NaN,4.041676759719849
