Query,CFPQ_size,Time(s)
0,NaN,0.10555148124694824
1,NaN,0.5325944423675537
2,NaN,0.168060302734375
3,337,0.08656907081604004
4,NaN,0.07523417472839355
5,NaN,0.0906834602355957
6,NaN,0.08590221405029297
0,NaN,0.09166455268859863
1,NaN,0.1230919361114502
2,NaN,0.09130239486694336
3,337,0.08563065528869629
4,NaN,0.08194565773010254
5,NaN,0.07899618148803711
6,NaN,0.09185242652893066
0,NaN,0.09613490104675293
1,NaN,0.11138749122619629
2,NaN,0.10262823104858398
3,337,0.0906527042388916
4,NaN,0.09188508987426758
5,NaN,0.0884711742401123
6,NaN,0.08222031593322754
0,NaN,0.10099387168884277
1,NaN,0.11003255844116211
2,NaN,0.09641003608703613
3,337,0.09525251388549805
4,NaN,0.0749363899230957
5,NaN,0.10540056228637695
6,NaN,0.09573149681091309
0,NaN,0.0990915298461914
1,NaN,0.12139081954956055
2,NaN,0.09214305877685547
3,337,0.08844399452209473
4,NaN,0.07588315010070801
5,NaN,0.09031963348388672
6,NaN,0.08801007270812988
0,NaN,0.08666253089904785
1,NaN,0.12662672996520996
2,NaN,0.0923471450805664
3,337,0.09311652183532715
4,NaN,0.08714795112609863
5,NaN,0.08171820640563965
6,NaN,0.07880210876464844
0,NaN,0.08507752418518066
1,NaN,0.11264824867248535
2,NaN,0.08177828788757324
3,337,0.09573650360107422
4,NaN,0.0874791145324707
5,NaN,0.08412909507751465
6,NaN,0.08272552490234375
0,NaN,0.09968090057373047
1,NaN,0.12816214561462402
2,NaN,0.09102392196655273
3,337,0.0860288143157959
4,NaN,0.08133673667907715
5,NaN,0.07462167739868164
6,NaN,0.07469916343688965
0,NaN,0.08628344535827637
1,NaN,0.13385462760925293
2,NaN,0.09445595741271973
3,337,0.0965721607208252
4,NaN,0.0905609130859375
5,NaN,0.08832836151123047
6,NaN,0.08368563652038574
0,NaN,0.0901329517364502
1,NaN,0.11618280410766602
2,NaN,0.08593583106994629
3,337,0.08054375648498535
4,NaN,0.09885120391845703
5,NaN,0.08502531051635742
6,NaN,0.08339619636535645
