Query,CFPQ_size,Time(s)
0,NaN,0.03237318992614746
1,NaN,0.05092167854309082
2,NaN,0.03406214714050293
3,144,0.030313730239868164
4,NaN,0.02627277374267578
5,NaN,0.02975916862487793
6,NaN,0.03490042686462402
0,NaN,0.03941917419433594
1,NaN,0.057335615158081055
2,NaN,0.04547548294067383
3,144,0.03455495834350586
4,NaN,0.028643131256103516
5,NaN,0.04188871383666992
6,NaN,0.03488636016845703
0,NaN,0.040685415267944336
1,NaN,0.05355644226074219
2,NaN,0.03321027755737305
3,144,0.03373384475708008
4,NaN,0.029354095458984375
5,NaN,0.026911020278930664
6,NaN,0.025760173797607422
0,NaN,0.03156161308288574
1,NaN,0.04980349540710449
2,NaN,0.03135395050048828
3,144,0.03029155731201172
4,NaN,0.024301528930664062
5,NaN,0.024810791015625
6,NaN,0.02497553825378418
0,NaN,0.03137326240539551
1,NaN,0.04920220375061035
2,NaN,0.03328657150268555
3,144,0.030417203903198242
4,NaN,0.02522587776184082
5,NaN,0.028970718383789062
6,NaN,0.028682708740234375
0,NaN,0.0358126163482666
1,NaN,0.05396127700805664
2,NaN,0.03493928909301758
3,144,0.03351449966430664
4,NaN,0.02797555923461914
5,NaN,0.029199838638305664
6,NaN,0.03159499168395996
0,NaN,0.0447390079498291
1,NaN,0.055228471755981445
2,NaN,0.033390045166015625
3,144,0.032141685485839844
4,NaN,0.026861190795898438
5,NaN,0.02591705322265625
6,NaN,0.028641462326049805
0,NaN,0.030707120895385742
1,NaN,0.053185224533081055
2,NaN,0.030368804931640625
3,144,0.02929091453552246
4,NaN,0.025091171264648438
5,NaN,0.023970842361450195
6,NaN,0.02500462532043457
0,NaN,0.03113102912902832
1,NaN,0.049225807189941406
2,NaN,0.03191351890563965
3,144,0.03194475173950195
4,NaN,0.025777816772460938
5,NaN,0.024529695510864258
6,NaN,0.023204803466796875
0,NaN,0.0345306396484375
1,NaN,0.053029537200927734
2,NaN,0.03360247611999512
3,144,0.03337812423706055
4,NaN,0.028147459030151367
5,NaN,0.026037216186523438
6,NaN,0.036355018615722656
