Query,CFPQ_size,Time(s)
0,NaN,0.05265474319458008
1,NaN,0.07108759880065918
2,NaN,0.050546884536743164
3,131,0.053351640701293945
4,NaN,0.04097700119018555
5,NaN,0.043267011642456055
6,NaN,0.03647923469543457
0,NaN,0.04644632339477539
1,NaN,0.0615081787109375
2,NaN,0.04840588569641113
3,131,0.04323768615722656
4,NaN,0.037801265716552734
5,NaN,0.038842201232910156
6,NaN,0.03768110275268555
0,NaN,0.04455828666687012
1,NaN,0.06582832336425781
2,NaN,0.04826092720031738
3,131,0.05557537078857422
4,NaN,0.05568861961364746
5,NaN,0.04074525833129883
6,NaN,0.03835558891296387
0,NaN,0.045838117599487305
1,NaN,0.06755757331848145
2,NaN,0.0589137077331543
3,131,0.04431915283203125
4,NaN,0.04279136657714844
5,NaN,0.04169178009033203
6,NaN,0.037241458892822266
0,NaN,0.04200935363769531
1,NaN,0.06049299240112305
2,NaN,0.04279613494873047
3,131,0.041109561920166016
4,NaN,0.035613298416137695
5,NaN,0.03610515594482422
6,NaN,0.03826904296875
0,NaN,0.04198336601257324
1,NaN,0.06480932235717773
2,NaN,0.04714369773864746
3,131,0.05499410629272461
4,NaN,0.04660844802856445
5,NaN,0.03956317901611328
6,NaN,0.04154181480407715
0,NaN,0.05202198028564453
1,NaN,0.06741023063659668
2,NaN,0.055056095123291016
3,131,0.054291486740112305
4,NaN,0.042929649353027344
5,NaN,0.042061805725097656
6,NaN,0.04720282554626465
0,NaN,0.04564094543457031
1,NaN,0.06400156021118164
2,NaN,0.04588794708251953
3,131,0.044156551361083984
4,NaN,0.038172245025634766
5,NaN,0.037732839584350586
6,NaN,0.0370020866394043
0,NaN,0.04465365409851074
1,NaN,0.06591081619262695
2,NaN,0.04827427864074707
3,131,0.04723215103149414
4,NaN,0.040711402893066406
5,NaN,0.0418858528137207
6,NaN,0.03959202766418457
0,NaN,0.046916961669921875
1,NaN,0.07617974281311035
2,NaN,0.045989036560058594
3,131,0.05531144142150879
4,NaN,0.03936600685119629
5,NaN,0.04521369934082031
6,NaN,0.0406336784362793
