Query,CFPQ_size,Time(s)
0,NaN,0.054222822189331055
1,NaN,0.08147192001342773
2,NaN,0.04622292518615723
3,179,0.055255889892578125
4,NaN,0.0450439453125
5,NaN,0.046836137771606445
6,NaN,0.04447340965270996
0,NaN,0.05110025405883789
1,NaN,0.07508707046508789
2,NaN,0.0583651065826416
3,179,0.05204176902770996
4,NaN,0.045556068420410156
5,NaN,0.04357099533081055
6,NaN,0.04389810562133789
0,NaN,0.053083181381225586
1,NaN,0.07692575454711914
2,NaN,0.046225547790527344
3,179,0.048331260681152344
4,NaN,0.04192233085632324
5,NaN,0.0503239631652832
6,NaN,0.04404783248901367
0,NaN,0.048033952713012695
1,NaN,0.06594061851501465
2,NaN,0.05122828483581543
3,179,0.052950143814086914
4,NaN,0.05075716972351074
5,NaN,0.04562830924987793
6,NaN,0.04888176918029785
0,NaN,0.048912763595581055
1,NaN,0.07033443450927734
2,NaN,0.05064272880554199
3,179,0.05227470397949219
4,NaN,0.043144941329956055
5,NaN,0.04126572608947754
6,NaN,0.046199798583984375
0,NaN,0.054764509201049805
1,NaN,0.06885743141174316
2,NaN,0.059825897216796875
3,179,0.047554731369018555
4,NaN,0.04046344757080078
5,NaN,0.04117941856384277
6,NaN,0.04120779037475586
0,NaN,0.0473935604095459
1,NaN,0.07842326164245605
2,NaN,0.051909685134887695
3,179,0.051155805587768555
4,NaN,0.044098854064941406
5,NaN,0.04878544807434082
6,NaN,0.04497480392456055
0,NaN,0.05110740661621094
1,NaN,0.07270026206970215
2,NaN,0.052384376525878906
3,179,0.0478360652923584
4,NaN,0.04270529747009277
5,NaN,0.0511929988861084
6,NaN,0.04278302192687988
0,NaN,0.047313690185546875
1,NaN,0.07086920738220215
2,NaN,0.04598498344421387
3,179,0.04638242721557617
4,NaN,0.04172992706298828
5,NaN,0.03967881202697754
6,NaN,0.0516514778137207
0,NaN,0.05852913856506348
1,NaN,0.07381081581115723
2,NaN,0.051525115966796875
3,179,0.055698394775390625
4,NaN,0.0496211051940918
5,NaN,0.04501819610595703
6,NaN,0.04243659973144531
