Query,CFPQ_size,Time(s)
0,NaN,0.0320744514465332
1,NaN,0.15849757194519043
2,NaN,0.023164033889770508
3,337,0.021626949310302734
4,NaN,0.0042171478271484375
5,NaN,0.0027306079864501953
6,NaN,0.0023899078369140625
0,NaN,0.021851539611816406
1,NaN,0.1678175926208496
2,NaN,0.022953033447265625
3,337,0.02080368995666504
4,NaN,0.003558635711669922
5,NaN,0.002476215362548828
6,NaN,0.002234220504760742
0,NaN,0.021002531051635742
1,NaN,0.1664588451385498
2,NaN,0.02261638641357422
3,337,0.02106499671936035
4,NaN,0.003743410110473633
5,NaN,0.0026476383209228516
6,NaN,0.0022759437561035156
0,NaN,0.02115797996520996
1,NaN,0.17709875106811523
2,NaN,0.022690534591674805
3,337,0.022286415100097656
4,NaN,0.004293680191040039
5,NaN,0.0028786659240722656
6,NaN,0.002117633819580078
0,NaN,0.021793365478515625
1,NaN,0.1632697582244873
2,NaN,0.022148847579956055
3,337,0.020229816436767578
4,NaN,0.0038661956787109375
5,NaN,0.002747058868408203
6,NaN,0.0022735595703125
0,NaN,0.02151322364807129
1,NaN,0.1587386131286621
2,NaN,0.023362398147583008
3,337,0.020837783813476562
4,NaN,0.003866434097290039
5,NaN,0.0027954578399658203
6,NaN,0.0021636486053466797
0,NaN,0.021582841873168945
1,NaN,0.17307353019714355
2,NaN,0.023275136947631836
3,337,0.02397465705871582
4,NaN,0.0047762393951416016
5,NaN,0.0030884742736816406
6,NaN,0.0022161006927490234
0,NaN,0.02263617515563965
1,NaN,0.17914772033691406
2,NaN,0.022905349731445312
3,337,0.02129340171813965
4,NaN,0.004044771194458008
5,NaN,0.002836465835571289
6,NaN,0.0021326541900634766
0,NaN,0.021442651748657227
1,NaN,0.16584372520446777
2,NaN,0.02294325828552246
3,337,0.02209305763244629
4,NaN,0.0040395259857177734
5,NaN,0.002788543701171875
6,NaN,0.002131223678588867
0,NaN,0.02145242691040039
1,NaN,0.16449928283691406
2,NaN,0.02320575714111328
3,337,0.02202582359313965
4,NaN,0.0039577484130859375
5,NaN,0.0029828548431396484
6,NaN,0.002132415771484375
