Query,CFPQ_size,Time(s)
0,NaN,0.0867316722869873
1,NaN,0.6984696388244629
2,NaN,0.08508515357971191
3,671,0.08241033554077148
4,NaN,0.013354063034057617
5,NaN,0.010107278823852539
6,NaN,0.0077550411224365234
0,NaN,0.08416199684143066
1,NaN,0.6796965599060059
2,NaN,0.08366107940673828
3,671,0.08057928085327148
4,NaN,0.03174257278442383
5,NaN,0.014266252517700195
6,NaN,0.007714033126831055
0,NaN,0.07932138442993164
1,NaN,0.6777768135070801
2,NaN,0.08371424674987793
3,671,0.08178472518920898
4,NaN,0.012955188751220703
5,NaN,0.009701728820800781
6,NaN,0.007545948028564453
0,NaN,0.08557343482971191
1,NaN,0.6575157642364502
2,NaN,0.0819542407989502
3,671,0.07895517349243164
4,NaN,0.011974811553955078
5,NaN,0.010255813598632812
6,NaN,0.007074832916259766
0,NaN,0.08152055740356445
1,NaN,0.6813416481018066
2,NaN,0.09444355964660645
3,671,0.08153438568115234
4,NaN,0.013077497482299805
5,NaN,0.00926351547241211
6,NaN,0.007441997528076172
0,NaN,0.08681225776672363
1,NaN,0.6621215343475342
2,NaN,0.08379459381103516
3,671,0.07946538925170898
4,NaN,0.012516498565673828
5,NaN,0.009921789169311523
6,NaN,0.0073316097259521484
0,NaN,0.08269500732421875
1,NaN,0.6571807861328125
2,NaN,0.08527088165283203
3,671,0.07979822158813477
4,NaN,0.012723445892333984
5,NaN,0.009348630905151367
6,NaN,0.007384777069091797
0,NaN,0.08046221733093262
1,NaN,0.6907994747161865
2,NaN,0.08545422554016113
3,671,0.08078265190124512
4,NaN,0.013231277465820312
5,NaN,0.010738849639892578
6,NaN,0.007820367813110352
0,NaN,0.08028984069824219
1,NaN,0.6598567962646484
2,NaN,0.0845639705657959
3,671,0.08245992660522461
4,NaN,0.013282060623168945
5,NaN,0.011074542999267578
6,NaN,0.008354425430297852
0,NaN,0.08428668975830078
1,NaN,0.6812877655029297
2,NaN,0.08153533935546875
3,671,0.0839848518371582
4,NaN,0.012780904769897461
5,NaN,0.009583711624145508
6,NaN,0.0075566768646240234
