Query,CFPQ_size,Time(s)
0,NaN,0.006045818328857422
1,NaN,0.028742074966430664
2,NaN,0.0055463314056396484
3,131,0.004866123199462891
4,NaN,0.002048969268798828
5,NaN,0.0015287399291992188
6,NaN,0.0012345314025878906
0,NaN,0.004841804504394531
1,NaN,0.03156590461730957
2,NaN,0.005376577377319336
3,131,0.00457453727722168
4,NaN,0.002033233642578125
5,NaN,0.0014903545379638672
6,NaN,0.0012595653533935547
0,NaN,0.004960298538208008
1,NaN,0.029999971389770508
2,NaN,0.0055103302001953125
3,131,0.004563570022583008
4,NaN,0.0019996166229248047
5,NaN,0.001481771469116211
6,NaN,0.0012123584747314453
0,NaN,0.004763364791870117
1,NaN,0.029132366180419922
2,NaN,0.00540471076965332
3,131,0.004726886749267578
4,NaN,0.0022912025451660156
5,NaN,0.0015354156494140625
6,NaN,0.0012631416320800781
0,NaN,0.0047495365142822266
1,NaN,0.029131174087524414
2,NaN,0.005670070648193359
3,131,0.0048143863677978516
4,NaN,0.0021398067474365234
5,NaN,0.0014412403106689453
6,NaN,0.0011413097381591797
0,NaN,0.004702568054199219
1,NaN,0.028824329376220703
2,NaN,0.005272388458251953
3,131,0.004557609558105469
4,NaN,0.002028942108154297
5,NaN,0.0015239715576171875
6,NaN,0.0011680126190185547
0,NaN,0.004778146743774414
1,NaN,0.02837514877319336
2,NaN,0.006998538970947266
3,131,0.004739046096801758
4,NaN,0.002027750015258789
5,NaN,0.001522064208984375
6,NaN,0.0013356208801269531
0,NaN,0.004759788513183594
1,NaN,0.02889561653137207
2,NaN,0.00866079330444336
3,131,0.008959531784057617
4,NaN,0.004231691360473633
5,NaN,0.0017428398132324219
6,NaN,0.0013654232025146484
0,NaN,0.004961490631103516
1,NaN,0.02913045883178711
2,NaN,0.005495548248291016
3,131,0.004647254943847656
4,NaN,0.0020608901977539062
5,NaN,0.0014848709106445312
6,NaN,0.0012137889862060547
0,NaN,0.004992485046386719
1,NaN,0.030130624771118164
2,NaN,0.0058002471923828125
3,131,0.004755973815917969
4,NaN,0.002151012420654297
5,NaN,0.0015022754669189453
6,NaN,0.0012409687042236328
