Query,CFPQ_size,Time(s)
0,NaN,0.05287432670593262
1,NaN,0.09453558921813965
2,NaN,0.05660247802734375
3,1323,0.050412654876708984
4,NaN,0.036046504974365234
5,NaN,0.027867794036865234
6,NaN,0.0304718017578125
0,NaN,0.05598282814025879
1,NaN,0.0874013900756836
2,NaN,0.05664825439453125
3,1323,0.049019813537597656
4,NaN,0.03558754920959473
5,NaN,0.03062295913696289
6,NaN,0.02359461784362793
0,NaN,0.04959297180175781
1,NaN,0.08499431610107422
2,NaN,0.057466745376586914
3,1323,0.04912686347961426
4,NaN,0.03529763221740723
5,NaN,0.02630925178527832
6,NaN,0.02358722686767578
0,NaN,0.04958653450012207
1,NaN,0.09523296356201172
2,NaN,0.05796480178833008
3,1323,0.050492286682128906
4,NaN,0.03587484359741211
5,NaN,0.030120134353637695
6,NaN,0.025170564651489258
0,NaN,0.06776070594787598
1,NaN,0.08601784706115723
2,NaN,0.0581967830657959
3,1323,0.06243896484375
4,NaN,0.043335914611816406
5,NaN,0.03145456314086914
6,NaN,0.024615049362182617
0,NaN,0.05231356620788574
1,NaN,0.08515071868896484
2,NaN,0.05701136589050293
3,1323,0.049346208572387695
4,NaN,0.036789894104003906
5,NaN,0.027846813201904297
6,NaN,0.023110389709472656
0,NaN,0.04891180992126465
1,NaN,0.09578490257263184
2,NaN,0.057852983474731445
3,1323,0.0522158145904541
4,NaN,0.0364682674407959
5,NaN,0.02839350700378418
6,NaN,0.02375173568725586
0,NaN,0.05064702033996582
1,NaN,0.08310556411743164
2,NaN,0.06197333335876465
3,1323,0.05449271202087402
4,NaN,0.03911542892456055
5,NaN,0.027563810348510742
6,NaN,0.0234529972076416
0,NaN,0.04881167411804199
1,NaN,0.08429503440856934
2,NaN,0.057169198989868164
3,1323,0.05009794235229492
4,NaN,0.0370333194732666
5,NaN,0.027691125869750977
6,NaN,0.022968769073486328
0,NaN,0.04911923408508301
1,NaN,0.09909200668334961
2,NaN,0.05801248550415039
3,1323,0.049590349197387695
4,NaN,0.035915374755859375
5,NaN,0.02716827392578125
6,NaN,0.023415327072143555
