Query,CFPQ_size,Time(s)
0,,2.2946113560902504
1,,4.728106884960171
2,,2.463396535354781
3,48815.0,2.6199354367695684
4,,1.4803806222300304
5,,1.2561565160398036
6,,1.0949829528539232
0,,2.326035723659861
1,,4.762385968930463
2,,2.6800488104454825
3,48815.0,2.622527802945586
4,,1.4678766069068274
5,,1.2963756703716023
6,,1.0160507074580658
0,,2.2681779853221546
1,,4.795658319950727
2,,2.5210172935994395
3,48815.0,2.5667584877149836
4,,1.5262498201914554
5,,1.2628911327960062
6,,1.0691284823617888
