Query,CFPQ_size,Time(s)
0,NaN,0.011806726455688477
1,NaN,0.021463871002197266
2,NaN,0.014314889907836914
3,256,0.013035774230957031
4,NaN,0.010325908660888672
5,NaN,0.007260560989379883
6,NaN,0.006215572357177734
0,NaN,0.011945247650146484
1,NaN,0.031510353088378906
2,NaN,0.022712230682373047
3,256,0.011704206466674805
4,NaN,0.012247323989868164
5,NaN,0.007168292999267578
6,NaN,0.006582498550415039
0,NaN,0.011047840118408203
1,NaN,0.020401954650878906
2,NaN,0.015119552612304688
3,256,0.015792131423950195
4,NaN,0.011287927627563477
5,NaN,0.0072705745697021484
6,NaN,0.008054971694946289
0,NaN,0.01389312744140625
1,NaN,0.021727800369262695
2,NaN,0.014787673950195312
3,256,0.011321306228637695
4,NaN,0.010537147521972656
5,NaN,0.006497383117675781
6,NaN,0.006119251251220703
0,NaN,0.011572122573852539
1,NaN,0.02756667137145996
2,NaN,0.016095638275146484
3,256,0.012489080429077148
4,NaN,0.010699033737182617
5,NaN,0.00702977180480957
6,NaN,0.006735086441040039
0,NaN,0.011976480484008789
1,NaN,0.02699565887451172
2,NaN,0.020527124404907227
3,256,0.018259048461914062
4,NaN,0.010856151580810547
5,NaN,0.00644993782043457
6,NaN,0.006253957748413086
0,NaN,0.01143026351928711
1,NaN,0.02512073516845703
2,NaN,0.018683671951293945
3,256,0.01171565055847168
4,NaN,0.012885808944702148
5,NaN,0.006665945053100586
6,NaN,0.006388187408447266
0,NaN,0.01156306266784668
1,NaN,0.021825075149536133
2,NaN,0.015233516693115234
3,256,0.011670112609863281
4,NaN,0.011423826217651367
5,NaN,0.006738185882568359
6,NaN,0.00616145133972168
0,NaN,0.016282320022583008
1,NaN,0.021828413009643555
2,NaN,0.015208721160888672
3,256,0.012018918991088867
4,NaN,0.01120448112487793
5,NaN,0.006888628005981445
6,NaN,0.006674528121948242
0,NaN,0.012017011642456055
1,NaN,0.02251744270324707
2,NaN,0.015363931655883789
3,256,0.011123418807983398
4,NaN,0.011402368545532227
5,NaN,0.006444215774536133
6,NaN,0.008535146713256836
