Query,CFPQ_size,Time(s)
0,NaN,0.024855375289916992
1,NaN,0.05800819396972656
2,NaN,0.0375368595123291
3,778,0.027613162994384766
4,NaN,0.019749879837036133
5,NaN,0.013916492462158203
6,NaN,0.01175689697265625
0,NaN,0.026317358016967773
1,NaN,0.04729032516479492
2,NaN,0.0312802791595459
3,778,0.02765941619873047
4,NaN,0.018926382064819336
5,NaN,0.013088703155517578
6,NaN,0.014041423797607422
0,NaN,0.02950119972229004
1,NaN,0.061803340911865234
2,NaN,0.03234243392944336
3,778,0.028081893920898438
4,NaN,0.020462751388549805
5,NaN,0.014342784881591797
6,NaN,0.012430429458618164
0,NaN,0.028244733810424805
1,NaN,0.05485057830810547
2,NaN,0.0320734977722168
3,778,0.029060840606689453
4,NaN,0.019937515258789062
5,NaN,0.014718294143676758
6,NaN,0.013292551040649414
0,NaN,0.027168750762939453
1,NaN,0.048716068267822266
2,NaN,0.03434300422668457
3,778,0.027399778366088867
4,NaN,0.0222322940826416
5,NaN,0.014329195022583008
6,NaN,0.012200117111206055
0,NaN,0.026337146759033203
1,NaN,0.04635763168334961
2,NaN,0.032425880432128906
3,778,0.0270535945892334
4,NaN,0.029454708099365234
5,NaN,0.013099908828735352
6,NaN,0.012227773666381836
0,NaN,0.029235363006591797
1,NaN,0.048415184020996094
2,NaN,0.03156590461730957
3,778,0.029018163681030273
4,NaN,0.01945638656616211
5,NaN,0.013815641403198242
6,NaN,0.012302160263061523
0,NaN,0.029996633529663086
1,NaN,0.050662994384765625
2,NaN,0.03254294395446777
3,778,0.02707982063293457
4,NaN,0.021395206451416016
5,NaN,0.01398468017578125
6,NaN,0.012029647827148438
0,NaN,0.0285646915435791
1,NaN,0.04808354377746582
2,NaN,0.03133654594421387
3,778,0.026376724243164062
4,NaN,0.02285599708557129
5,NaN,0.015069007873535156
6,NaN,0.013465404510498047
0,NaN,0.029859304428100586
1,NaN,0.048898935317993164
2,NaN,0.033823490142822266
3,778,0.026506662368774414
4,NaN,0.02216935157775879
5,NaN,0.0126953125
6,NaN,0.010861873626708984
