Query,CFPQ_size,Time(s)
0,NaN,0.01751542091369629
1,NaN,0.017890214920043945
2,NaN,0.01263737678527832
3,129,0.009032726287841797
4,NaN,0.008731842041015625
5,NaN,0.004549741744995117
6,NaN,0.005356788635253906
0,NaN,0.006773948669433594
1,NaN,0.014308691024780273
2,NaN,0.009038448333740234
3,129,0.0067865848541259766
4,NaN,0.007040977478027344
5,NaN,0.0038170814514160156
6,NaN,0.004162311553955078
0,NaN,0.007029533386230469
1,NaN,0.015084505081176758
2,NaN,0.009172439575195312
3,129,0.006514072418212891
4,NaN,0.0070645809173583984
5,NaN,0.0038013458251953125
6,NaN,0.0041046142578125
0,NaN,0.0071010589599609375
1,NaN,0.014415740966796875
2,NaN,0.009280920028686523
3,129,0.006810903549194336
4,NaN,0.0072422027587890625
5,NaN,0.003748655319213867
6,NaN,0.00401759147644043
0,NaN,0.006701231002807617
1,NaN,0.013858318328857422
2,NaN,0.009285449981689453
3,129,0.006198883056640625
4,NaN,0.0074558258056640625
5,NaN,0.0038230419158935547
6,NaN,0.004111528396606445
0,NaN,0.00709080696105957
1,NaN,0.01818227767944336
2,NaN,0.011771440505981445
3,129,0.006525754928588867
4,NaN,0.006937265396118164
5,NaN,0.0037529468536376953
6,NaN,0.004210710525512695
0,NaN,0.0070476531982421875
1,NaN,0.02142190933227539
2,NaN,0.009348154067993164
3,129,0.006658077239990234
4,NaN,0.00783228874206543
5,NaN,0.0038356781005859375
6,NaN,0.004253387451171875
0,NaN,0.0067255496978759766
1,NaN,0.014720439910888672
2,NaN,0.009571552276611328
3,129,0.006949901580810547
4,NaN,0.007424354553222656
5,NaN,0.004024505615234375
6,NaN,0.004349470138549805
0,NaN,0.00694584846496582
1,NaN,0.015849590301513672
2,NaN,0.011087656021118164
3,129,0.007125377655029297
4,NaN,0.0075566768646240234
5,NaN,0.0040035247802734375
6,NaN,0.004297733306884766
0,NaN,0.006855964660644531
1,NaN,0.01481938362121582
2,NaN,0.009329557418823242
3,129,0.00677490234375
4,NaN,0.007247447967529297
5,NaN,0.0038204193115234375
6,NaN,0.004338502883911133
