Query,CFPQ_size,Time(s)
0,NaN,0.33133411407470703
1,NaN,0.49423813819885254
2,NaN,0.378521203994751
3,6238,0.34415626525878906
4,NaN,0.30512380599975586
5,NaN,0.22027873992919922
6,NaN,0.17851519584655762
0,NaN,0.3201754093170166
1,NaN,0.49042749404907227
2,NaN,0.3812258243560791
3,6238,0.32810544967651367
4,NaN,0.2880058288574219
5,NaN,0.2253284454345703
6,NaN,0.17413973808288574
0,NaN,0.3207087516784668
1,NaN,0.5001132488250732
2,NaN,0.3710315227508545
3,6238,0.34783029556274414
4,NaN,0.27165794372558594
5,NaN,0.22177481651306152
6,NaN,0.18257904052734375
0,NaN,0.3503868579864502
1,NaN,0.478762149810791
2,NaN,0.38640904426574707
3,6238,0.32767248153686523
4,NaN,0.27094602584838867
5,NaN,0.21902060508728027
6,NaN,0.1881709098815918
0,NaN,0.33487439155578613
1,NaN,0.5017111301422119
2,NaN,0.3865060806274414
3,6238,0.32266950607299805
4,NaN,0.2643601894378662
5,NaN,0.2301313877105713
6,NaN,0.17539668083190918
0,NaN,0.3255910873413086
1,NaN,0.48274755477905273
2,NaN,0.4234039783477783
3,6238,0.32193684577941895
4,NaN,0.2752699851989746
5,NaN,0.2286067008972168
6,NaN,0.18050551414489746
0,NaN,0.32430124282836914
1,NaN,0.5001354217529297
2,NaN,0.3668665885925293
3,6238,0.3294253349304199
4,NaN,0.29848551750183105
5,NaN,0.22350549697875977
6,NaN,0.175034761428833
0,NaN,0.33272337913513184
1,NaN,0.4921433925628662
2,NaN,0.37162065505981445
3,6238,0.34407711029052734
4,NaN,0.2697122097015381
5,NaN,0.2246088981628418
6,NaN,0.19209623336791992
0,NaN,0.3478422164916992
1,NaN,0.47798895835876465
2,NaN,0.3711283206939697
3,6238,0.3411898612976074
4,NaN,0.2702903747558594
5,NaN,0.22793960571289062
6,NaN,0.17810273170471191
0,NaN,0.35085511207580566
1,NaN,0.4835476875305176
2,NaN,0.38599085807800293
3,6238,0.3271758556365967
4,NaN,0.27701234817504883
5,NaN,0.22087597846984863
6,NaN,0.1896986961364746
