Query,CFPQ_size,Time(s)
0,NaN,0.015068769454956055
1,NaN,0.03826904296875
2,NaN,0.017988204956054688
3,337,0.013832330703735352
4,NaN,0.011308908462524414
5,NaN,0.007153511047363281
6,NaN,0.006671428680419922
0,NaN,0.013315200805664062
1,NaN,0.027263879776000977
2,NaN,0.03778529167175293
3,337,0.018309354782104492
4,NaN,0.02219414710998535
5,NaN,0.007894754409790039
6,NaN,0.007250308990478516
0,NaN,0.016056060791015625
1,NaN,0.02687239646911621
2,NaN,0.01856827735900879
3,337,0.014636516571044922
4,NaN,0.012172937393188477
5,NaN,0.00785517692565918
6,NaN,0.009113788604736328
0,NaN,0.015099287033081055
1,NaN,0.026394367218017578
2,NaN,0.017699003219604492
3,337,0.013784646987915039
4,NaN,0.011766672134399414
5,NaN,0.008872032165527344
6,NaN,0.007422208786010742
0,NaN,0.016173839569091797
1,NaN,0.02608466148376465
2,NaN,0.016938209533691406
3,337,0.013889789581298828
4,NaN,0.01218104362487793
5,NaN,0.00735783576965332
6,NaN,0.0071430206298828125
0,NaN,0.014873981475830078
1,NaN,0.026149988174438477
2,NaN,0.017200231552124023
3,337,0.01389002799987793
4,NaN,0.011902332305908203
5,NaN,0.007503986358642578
6,NaN,0.0070536136627197266
0,NaN,0.013663530349731445
1,NaN,0.027410268783569336
2,NaN,0.017026901245117188
3,337,0.013784408569335938
4,NaN,0.0114593505859375
5,NaN,0.007203817367553711
6,NaN,0.008484601974487305
0,NaN,0.017194509506225586
1,NaN,0.031238079071044922
2,NaN,0.02066493034362793
3,337,0.01653265953063965
4,NaN,0.01479339599609375
5,NaN,0.008914709091186523
6,NaN,0.009058475494384766
0,NaN,0.01630401611328125
1,NaN,0.029503345489501953
2,NaN,0.017815828323364258
3,337,0.016605138778686523
4,NaN,0.012232065200805664
5,NaN,0.007378101348876953
6,NaN,0.0073375701904296875
0,NaN,0.014365911483764648
1,NaN,0.026031017303466797
2,NaN,0.01699519157409668
3,337,0.014152050018310547
4,NaN,0.012238025665283203
5,NaN,0.0073201656341552734
6,NaN,0.007146358489990234
