Query,CFPQ_size,Time(s)
0,NaN,0.039061784744262695
1,NaN,0.060760498046875
2,NaN,0.043376922607421875
3,671,0.04325532913208008
4,NaN,0.03263735771179199
5,NaN,0.024585247039794922
6,NaN,0.023653745651245117
0,NaN,0.04485321044921875
1,NaN,0.06437969207763672
2,NaN,0.041882991790771484
3,671,0.035698652267456055
4,NaN,0.03842926025390625
5,NaN,0.02496933937072754
6,NaN,0.0220944881439209
0,NaN,0.03790473937988281
1,NaN,0.05694389343261719
2,NaN,0.04507851600646973
3,671,0.04641866683959961
4,NaN,0.03383755683898926
5,NaN,0.02582716941833496
6,NaN,0.02213883399963379
0,NaN,0.038144588470458984
1,NaN,0.05919599533081055
2,NaN,0.04380631446838379
3,671,0.04188394546508789
4,NaN,0.04667019844055176
5,NaN,0.026017189025878906
6,NaN,0.02148604393005371
0,NaN,0.04376816749572754
1,NaN,0.05904197692871094
2,NaN,0.04525589942932129
3,671,0.03942608833312988
4,NaN,0.03478407859802246
5,NaN,0.03788161277770996
6,NaN,0.02181100845336914
0,NaN,0.03707551956176758
1,NaN,0.0668327808380127
2,NaN,0.04259991645812988
3,671,0.037374019622802734
4,NaN,0.03269362449645996
5,NaN,0.026025056838989258
6,NaN,0.03194093704223633
0,NaN,0.03834939002990723
1,NaN,0.06260967254638672
2,NaN,0.04887056350708008
3,671,0.03683805465698242
4,NaN,0.033145904541015625
5,NaN,0.024570941925048828
6,NaN,0.020513057708740234
0,NaN,0.04097485542297363
1,NaN,0.07426810264587402
2,NaN,0.04408550262451172
3,671,0.03637814521789551
4,NaN,0.0325164794921875
5,NaN,0.03291511535644531
6,NaN,0.026528358459472656
0,NaN,0.04301166534423828
1,NaN,0.06142425537109375
2,NaN,0.045983076095581055
3,671,0.044814348220825195
4,NaN,0.031848907470703125
5,NaN,0.023514270782470703
6,NaN,0.019112825393676758
0,NaN,0.03464317321777344
1,NaN,0.05873537063598633
2,NaN,0.04636502265930176
3,671,0.03714394569396973
4,NaN,0.03327155113220215
5,NaN,0.025755882263183594
6,NaN,0.021427154541015625
