Query,CFPQ_size,Time(s)
0,NaN,0.011753320693969727
1,NaN,0.019364356994628906
2,NaN,0.010157346725463867
3,144,0.007215261459350586
4,NaN,0.007323741912841797
5,NaN,0.003754854202270508
6,NaN,0.008248567581176758
0,NaN,0.014821290969848633
1,NaN,0.017596721649169922
2,NaN,0.009939908981323242
3,144,0.007196187973022461
4,NaN,0.00789332389831543
5,NaN,0.0039021968841552734
6,NaN,0.004236459732055664
0,NaN,0.006878376007080078
1,NaN,0.015701770782470703
2,NaN,0.009549140930175781
3,144,0.007880687713623047
4,NaN,0.009603500366210938
5,NaN,0.0051457881927490234
6,NaN,0.005974531173706055
0,NaN,0.008609533309936523
1,NaN,0.02451610565185547
2,NaN,0.012542963027954102
3,144,0.008869171142578125
4,NaN,0.009118318557739258
5,NaN,0.0044438838958740234
6,NaN,0.005429983139038086
0,NaN,0.008306264877319336
1,NaN,0.02066183090209961
2,NaN,0.012566089630126953
3,144,0.00933980941772461
4,NaN,0.009897232055664062
5,NaN,0.004767894744873047
6,NaN,0.0053975582122802734
0,NaN,0.008737325668334961
1,NaN,0.02301192283630371
2,NaN,0.014651298522949219
3,144,0.009274482727050781
4,NaN,0.009580135345458984
5,NaN,0.004644632339477539
6,NaN,0.00579071044921875
0,NaN,0.008381128311157227
1,NaN,0.019184589385986328
2,NaN,0.012203454971313477
3,144,0.00948476791381836
4,NaN,0.00951075553894043
5,NaN,0.004700422286987305
6,NaN,0.005318403244018555
0,NaN,0.008211612701416016
1,NaN,0.016046524047851562
2,NaN,0.015456676483154297
3,144,0.010172605514526367
4,NaN,0.007471323013305664
5,NaN,0.005970001220703125
6,NaN,0.006544351577758789
0,NaN,0.008928060531616211
1,NaN,0.014856100082397461
2,NaN,0.01158452033996582
3,144,0.007505893707275391
4,NaN,0.0071887969970703125
5,NaN,0.0038213729858398438
6,NaN,0.0046710968017578125
0,NaN,0.0070629119873046875
1,NaN,0.014853239059448242
2,NaN,0.009594440460205078
3,144,0.007626771926879883
4,NaN,0.0074808597564697266
5,NaN,0.003738880157470703
6,NaN,0.004174232482910156
