Query,CFPQ_size,Time(s)
0,NaN,0.014671087265014648
1,NaN,0.021615982055664062
2,NaN,0.013166189193725586
3,179,0.009952783584594727
4,NaN,0.009889841079711914
5,NaN,0.0058994293212890625
6,NaN,0.005760908126831055
0,NaN,0.01679849624633789
1,NaN,0.026155948638916016
2,NaN,0.022342205047607422
3,179,0.009783267974853516
4,NaN,0.010245561599731445
5,NaN,0.005986690521240234
6,NaN,0.006013631820678711
0,NaN,0.010152101516723633
1,NaN,0.024005413055419922
2,NaN,0.012602567672729492
3,179,0.009435176849365234
4,NaN,0.009862184524536133
5,NaN,0.005666017532348633
6,NaN,0.006069660186767578
0,NaN,0.009415149688720703
1,NaN,0.01754927635192871
2,NaN,0.011579513549804688
3,179,0.00865626335144043
4,NaN,0.009221553802490234
5,NaN,0.0051136016845703125
6,NaN,0.005821704864501953
0,NaN,0.009090423583984375
1,NaN,0.017009258270263672
2,NaN,0.01113581657409668
3,179,0.009929180145263672
4,NaN,0.009987831115722656
5,NaN,0.005457162857055664
6,NaN,0.00545501708984375
0,NaN,0.016770362854003906
1,NaN,0.019988536834716797
2,NaN,0.012648344039916992
3,179,0.011359930038452148
4,NaN,0.010707378387451172
5,NaN,0.006512641906738281
6,NaN,0.005830049514770508
0,NaN,0.00997781753540039
1,NaN,0.019771099090576172
2,NaN,0.0135498046875
3,179,0.010565757751464844
4,NaN,0.010038375854492188
5,NaN,0.005821943283081055
6,NaN,0.005957365036010742
0,NaN,0.010064840316772461
1,NaN,0.021015405654907227
2,NaN,0.013313531875610352
3,179,0.009801864624023438
4,NaN,0.010022640228271484
5,NaN,0.0057659149169921875
6,NaN,0.006821632385253906
0,NaN,0.009668350219726562
1,NaN,0.018233299255371094
2,NaN,0.012174606323242188
3,179,0.009847402572631836
4,NaN,0.009849309921264648
5,NaN,0.005727529525756836
6,NaN,0.006035566329956055
0,NaN,0.009737968444824219
1,NaN,0.019814014434814453
2,NaN,0.013005733489990234
3,179,0.009657621383666992
4,NaN,0.011211872100830078
5,NaN,0.006303071975708008
6,NaN,0.006546735763549805
