Query,CFPQ_size,Time(s)
0,,4.678773822322668
1,,5.873899825667796
2,,4.584987600267855
3,1323.0,4.737053028548456
4,,4.450992032649675
5,,4.669749306896738
6,,4.35339916271468
0,,4.624376772040348
1,,6.027735787846156
2,,4.75738552738316
3,1323.0,4.963926117735688
4,,4.350399669993771
5,,4.58672168199713
6,,4.474264138499922
0,,4.845362836017531
1,,5.539003338906714
2,,4.953409667128264
3,1323.0,4.75414909556711
4,,4.50600616606989
5,,4.761632205011461
6,,4.646964097868374
0,,4.6600712561644295
1,,5.627272264888952
2,,4.391371907368967
3,1323.0,4.8293915787692185
4,,4.323445895126713
5,,4.301946926900545
6,,4.731853387086949
0,,4.556659057903714
1,,5.843795541953256
2,,98.41868600080407
3,1323.0,4.870139895680874
4,,4.714163670467283
5,,4.641103109921528
6,,4.712411362653765
0,,4.852418934345364
1,,5.980780187387063
2,,4.841470265168782
3,1323.0,4.852559535566657
4,,4.582175575842003
5,,4.7549302134631795
6,,4.694568026181204
0,,4.928986714244473
1,,5.844545415133482
2,,4.988622461883103
3,1323.0,4.762392493096969
4,,4.821064861997111
5,,4.581272082808881
6,,4.525023783112876
0,,5.043376222671295
1,,5.9759606899683115
2,,5.1302938146933315
3,1323.0,4.752727460996262
4,,4.918954556732613
5,,4.601224437600831
6,,4.49743209529736
0,,5.178285698227876
1,,5.627126456215018
2,,4.937901873164952
3,1323.0,4.6214579948353665
4,,4.514728649242672
5,,4.500811732061023
6,,4.6040000098582
0,,4.660099897153952
1,,5.662451211201629
2,,4.93207473366027
3,1323.0,4.764280194679138
4,,4.774544083833499
5,,4.544114304492828
6,,4.783375923511731
