Query,CFPQ_size,Time(s)
0,NaN,2.1163949966430664
1,NaN,7.519050121307373
2,NaN,4.558872938156128
3,131,2.0906081199645996
4,NaN,0.0955042839050293
5,NaN,0.08275961875915527
6,NaN,0.08002972602844238
0,NaN,2.0671539306640625
1,NaN,7.492006540298462
2,NaN,4.544587135314941
3,131,2.088479518890381
4,NaN,0.08149075508117676
5,NaN,0.08109569549560547
6,NaN,0.08191084861755371
0,NaN,2.1106772422790527
1,NaN,7.464148998260498
2,NaN,4.5165855884552
3,131,2.074864149093628
4,NaN,0.0837857723236084
5,NaN,0.07936549186706543
6,NaN,0.08059835433959961
0,NaN,2.0298190116882324
1,NaN,7.4205217361450195
2,NaN,4.50113582611084
3,131,2.0943868160247803
4,NaN,0.08110427856445312
5,NaN,0.07925677299499512
6,NaN,0.07523059844970703
0,NaN,2.0927834510803223
1,NaN,7.413266897201538
2,NaN,4.556339740753174
3,131,2.038235902786255
4,NaN,0.08056378364562988
5,NaN,0.08335518836975098
6,NaN,0.08274364471435547
0,NaN,2.053661823272705
1,NaN,7.504104852676392
2,NaN,4.543181657791138
3,131,2.0522379875183105
4,NaN,0.08121109008789062
5,NaN,0.08023357391357422
6,NaN,0.08598685264587402
0,NaN,2.063107967376709
1,NaN,7.4777820110321045
2,NaN,4.449395179748535
3,131,2.0471138954162598
4,NaN,0.0726313591003418
5,NaN,0.0723111629486084
6,NaN,0.07249593734741211
0,NaN,2.040544033050537
1,NaN,7.14720892906189
2,NaN,4.318237543106079
3,131,2.0232627391815186
4,NaN,0.08476829528808594
5,NaN,0.07671380043029785
6,NaN,0.08025264739990234
0,NaN,2.0932626724243164
1,NaN,7.027656316757202
2,NaN,4.226606845855713
3,131,1.9806184768676758
4,NaN,0.0826108455657959
5,NaN,0.07992720603942871
6,NaN,0.07938742637634277
0,NaN,2.074397087097168
1,NaN,7.3480284214019775
2,NaN,4.485185623168945
3,131,2.076535224914551
4,NaN,0.09209775924682617
5,NaN,0.08240008354187012
6,NaN,0.08489012718200684
